 CODIGO,CLAVE,DESCRIPCION,
01300200,TCC2DF,"TUBO DE A/C C/C DE 060.3 MM. CED. 7 LISO (2"") SPS",
01300202,TCC3DF,"TUBO DE A/C C/C DE 088.9 MM. CED. 7 LISO (3"") SPS",
01300203,TCC4DFRA,"TUBO DE A/C C/C DE 114.3 MM. CED. 7 RAN. (4"") DF",
01300207,TCC11/4DFRA,"TUBO DE A/C C/C DE 042.2 MM. CED. 7 RAN. (1 1/4"") DF",
01300209,TCC2DFRA,"TUBO DE A/C C/C DE 060.3 MM. CED. 7 RAN. (2"") DF",
01300210,TCC21/2DFRA,"TUBO DE A/C C/C DE 073.0 MM. CED. 7 RAN. (2 1/2"") DF",
01300211,TCC3DFRA,"TUBO DE A/C C/C DE 088.9 MM. CED. 7 RAN. (3"") DF",
01300235,TCC410RA,"TUBO DE A/C C/C DE 114.3 X 03.0 MM. RAN. UL/FM (4"" CED. 10)",
01300236,TCC610RA,"TUBO DE A/C C/C DE 168.1 X 03.4 MM. RAN. UL/FM (6"" CED. 10)",
01300237,TCC210RA,"TUBO DE A/C C/C DE 060.3 X 02.8 MM. RAN. (2"" CED. 10)",
01300238,TCC21/210RA,"TUBO DE A/C C/C DE 073.0 X 03.0 MM. RAN. (2 1/2"" CED. 10)",
01300239,TCC310RA,"TUBO DE A/C C/C DE 088.9 X 03.0 MM. RAN. UL/FM (3"" CED. 10)",
01300273,TCC410,"TUBO DE A/C C/C DE 114.3 X 03.0 MM. LISO (4"" CED. 10) SPS",
01300275,TCC610,"TUBO DE A/C C/C DE 168.3 X 03.4 MM. LISO (6"" CED. 10) SPS",
01300276,TCC810,"TUBO DE A/C C/C DE 219.1 X 04.7 MM. RAN. (8"" CED. 10) SPS",
01300277,TCC11/410RA,"TUBO DE A/C C/C DE 042.2 X 02.8 MM. RAN. (1 1/4"" CED. 10) ",
01300278,TCC11/210,"TUBO DE A/C C/C DE 048.3 X 02.8 MM. LISO (1 1/2"" CED. 10) SPS",
01300279,TCC210,"TUBO DE A/C C/C DE 060.3 X 02.8 MM. LISO (2"" CED. 10) SPS",
01300280,TCC21/210,"TUBO DE A/C C/C DE 073.0 X 03.0 MM. LISO (2 1/2"" CED. 10) SPS",
01300281,TCC310,"TUBO DE A/C C/C DE 088.9 X 03.0 MM. LISO (3"" CED. 10) SPS",
01300282,TCC1BLT,"TUBO DE A/C C/C DE 033.4 MM. LISO (1"") BLT",
01300283,TCC11/4BLT,"TUBO DE A/C C/C DE 042.2 MM. LISO (1 1/4"") BLT",
01300284,TCC11/2BLT,"TUBO DE A/C C/C DE 048.3 MM. LISO (1 1/2"") BLT",
01300302,TCC340GRA,"TUBO DE ACERO AL CARBON CON COSTURA DE 088.9 X 05.5 MM. GALV. RAN. (3"" CED. 40)",
01300305,TCC440GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 114.3 X 06.0 MM. GALV. LISO (4"" CED. 40)",
01300309,TCC640GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 168.3 X 07.1 MM. GALV. LISO (6"" CED. 40)",
01300314,TCC840GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 219.1 X 08.2 MM. GALV. LISO (8"" CED. 40)",
01300316,TCC3/480GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 03.9 MM. GALV. LISO (3/4"" CED. 80)",
01300321,TCC180GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 033.4 X 04.6 MM. GALV. LISO (1"" CED. 80)",
01300329,TCC240GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 060.3 X 03.9 MM. GALV. LISO (2"" CED. 40)",
01300332,TCC21/240GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 073.0 X 05.2 MM. GALV. LISO (2 1/2"" CED. 40)",
01300335,TCC340GL,"TUBO DE ACERO AL CARBON CON COSTURA DE 088.9 X 05.5 MM. GALV. LISO (3"" CED. 40)",
01300339,TCC440GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 114.3 X 06.0 MM. GALV. ROSC. (4"" CED. 40)",
01300343,TCC1/240GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 021.3 X 02.8 MM. GALV. ROSC. (1/2"" CED. 40)",
01300345,TCC3/440GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 02.9 MM. GALV. ROSC. (3/4"" CED. 40)",
01300347,TCC140GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 033.4 X 03.4 MM. GALV. ROSC.(1"" CED. 40)",
01300349,TCC11/440GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 042.2 X 03.6 MM. GALV. ROSC. (1 1/4"" CED. 40)",
01300351,TCC11/240GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 048.3 X 03.7 MM. GALV. ROSC. (1 1/2"" CED. 40)",
01300353,TCC240GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 060.3 X 03.9 MM. GALV. ROSC. (2"" CED. 40)",
01300357,TCC21/240GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 073.0 X 05.2 MM. GALV. ROSC. (2 1/2"" CED. 40)",
01300359,TCC340GR,"TUBO DE ACERO AL CARBON CON COSTURA DE 088.9 X 05.5 MM. GALV. ROSC. (3"" CED. 40)",
01300378,TCC440R,"TUBO DE ACERO AL CARBON CON COSTURA DE 114.3 X 06.0 MM. ROSC. (4"" CED. 40)",
01300380,TCC1/440,"TUBO DE ACERO AL CARBON CON COSTURA DE 013.7 X 02.2 MM. (1/4"" CED. 40)",
01300385,TCC1/240R,"TUBO DE ACERO AL CARBON CON COSTURA DE 021.3 X 02.8 MM. ROSC. (1/2"" CED. 40)",
01300393,TCC3/440R,"TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 02.9 MM. ROSC. (3/4"" CED. 40)",
01300394,TCC3/480R,"TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 03.9 MM. ROSC. (3/4"" CED. 80)",
01300413,TCC140R,"TUBO DE ACERO AL CARBON CON COSTURA DE 033.4 X 03.4 MM. ROSC. (1"" CED. 40)",
01300415,TCC11/440R,"TUBO DE ACERO AL CARBON CON COSTURA DE 042.2 X 03.6 MM. ROSC. (1 1/4"" CED. 40)",
01300417,TCC11/240R,"TUBO DE ACERO AL CARBON CON COSTURA DE 048.3 X 03.7 MM. ROSC. (1 1/2"" CED. 40)",
01300419,TCC240R,"TUBO DE ACERO AL CARBON CON COSTURA DE 060.3 X 03.9 MM. ROSC. (2"" CED. 40)",
01300424,TCC340R,"TUBO DE ACERO AL CARBON CON COSTURA DE 088.9 X 05.5 MM. ROSC. (3"" CED. 40)",
01300433,TCC640TM,"COD. ART. R001320001 TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. B DE 6"" DE DIAMETRO",
01300434,TCC140TM,"COD. ARTR01060002 TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 1"" DE DIAMETRO",
01300435,TCC11/240TM,"COD. ART. R01080001 TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 1 1/2"" DE DIAMETRO",
01300436,TCC11/440TM,"COD. ART. R01070002 TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 1 1/4"" DE DIAMETRO",
01300438,TCC180TM,"COD. ART. R03060004 TUBO DE ACERO AL CARBON CON COSTURA CED. 80 ASTM-A-53 GR. A DE 1"" DE DIAMETRO",
01300439,TCC21/240TM,"COD. ART. R01100001 TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 2 1/2"" DE DIAMETRO",
01300440,TCC280TM,"COD. ART. R03090002 TUBO DE ACERO AL CARBON CON COSTURA CED. 80 ASTM-A-53 GR. A DE 2"" DE DIAMETRO",
01300441,TCC240TM,"COD. ART. R01090004 TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 2"" DE DIAMETRO",
01300443,TCC3/480TM,"COD. ART. R03050003 TUBO DE ACERO AL CARBON CON COSTURA CED. 80 ASTM-A-53 Gr. A DE 3/4"" DE DIAMETRO",
01300444,TCC440TM,"COD. ART. R01300002 TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 4"" DE DIAMETRO",
01300445,TCC11/480TM,COD. ART. R03070003 TUBO DE ACERO AL CARBON CON COSTURA CED. 80 ASTM-A-53 GR. A DE 1 1/4 DE DIAMETRO,
01300446,TCC1/280TM,"COD. ART. R03040003 TUBO DE ACERO AL CARBON CON COSTURA CED. 80 ASTM-A-53 GR. A DE 1/2"" DE DIAMETRO",
01300464,TCC440,"TUBO DE ACERO AL CARBON CON COSTURA DE 114.3 X 06.0 MM. (4"" CED. 40)",
01300477,TCC540,"TUBO DE ACERO AL CARBON CON COSTURA DE 141.3 X 06.5 MM. (5"" CED. 40)",
01300485,TCC6X6.3,"TUBO DE ACERO AL CARBON CON COSTURA DE 168.3 X 06.3 MM. (6"" X .250"")",
01300487,TCC640,"TUBO DE ACERO AL CARBON CON COSTURA DE 168.3 X 07.1 MM. (6"" CED. 40)",
01300492,TCC1/240,"TUBO DE ACERO AL CARBON CON COSTURA DE 021.3 X 02.8 MM. (1/2"" CED. 40)",
01300493,TCC1/280,"TUBO DE ACERO AL CARBON CON COSTURA DE 021.3 X 03.7 MM. (1/2"" CED. 80)",
01300504,TCC840,"TUBO DE ACERO AL CARBON CON COSTURA DE 219.1 X 08.2 MM. (8"" CED. 40)",
01300512,TCC3/440,"TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 02.9 MM. (3/4"" CED. 40)",
01300514,TCC3/480,"TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 03.9 MM. (3/4"" CED. 80)",
01300519,TCC1020,"TUBO DE ACERO AL CARBON CON COSTURA DE 273.1 X 06.3 MM. (10"" CED. 20)",
01300525,TCC1040,"TUBO DE ACERO AL CARBON CON COSTURA DE 273.1 X 09.3 MM. (10"" CED. 40)",
01300530,TCC1240,"TUBO DE ACERO AL CARBON CON COSTURA DE 324 X 10.3 MM. (12"" CED. 40)",
01300536,TCC1220,"TUBO DE ACERO AL CARBON CON COSTURA DE 324 X 06.3 MM. (12"" CED. 20)",
01300545,TCC12X9.5,"TUBO DE ACERO AL CARBON CON COSTURA DE 324 X 09.5 MM. (12"" X 3/8"")",
01300547,TCC140,"TUBO DE ACERO AL CARBON CON COSTURA DE 033.4 X 03.4 MM. (1"" CED. 40)",
01300549,TCC180,"TUBO DE ACERO AL CARBON CON COSTURA DE 033.4 X 04.6 MM. (1"" CED. 80)",
01300552,TCC1440,"TUBO DE ACERO AL CARBON CON COSTURA DE 356 X 11.1 MM. (14"" CED. 40)",
01300565,TCC1430,"TUBO DE ACERO AL CARBON CON COSTURA DE 356 X 09.5 MM. (14"" CED. 30)",
01300572,TCC1640,"TUBO DE ACERO AL CARBON CON COSTURA DE 406 X 12.7 MM. (16"" CED. 40)",
01300581,TCC1630,"TUBO DE ACERO AL CARBON CON COSTURA DE 406 X 09.5 MM. (16"" CED. 30)",
01300583,TCC11/440,"TUBO DE ACERO AL CARBON CON COSTURA DE 042.2 X 03.6 MM. (1 1/4"" CED. 40)",
01300596,TCC18X9.5,"TUBO DE ACERO AL CARBON CON COSTURA DE 457 X 09.5 MM. (18"" X 3/8"")",
01300598,TCC11/240,"TUBO DE ACERO AL CARBON CON COSTURA DE 048.3 X 03.7 MM. (1 1/2"" CED. 40)",
01300601,TCC11/280,"TUBO DE ACERO AL CARBON CON COSTURA DE 048.3 X 05.1 MM. (1 1/2"" CED. 80)",
01300609,TCC2010,"TUBO DE ACERO AL CARBON CON COSTURA DE 508 X 06.3 MM. (20"" CED. 10)",
01300620,TCC240,"TUBO DE ACERO AL CARBON CON COSTURA DE 060.3 X 03.9 MM. (2"" CED. 40)",
01300622,TCC280,"TUBO DE ACERO AL CARBON CON COSTURA DE 060.3 X 05.5 MM. (2"" CED. 80)",
01300645,TCC21/240,"TUBO DE ACERO AL CARBON CON COSTURA DE 073.0 X 05.2 MM. (2 1/2"" CED. 40)",
01300662,TCC30X12.7,"TUBO DE ACERO AL CARBON CON COSTURA DE 762 X 12.7 MM. (30"" CED 20)",
01300668,TCC340,"TUBO DE ACERO AL CARBON CON COSTURA DE 088.9 X 05.5 MM. (3"" CED. 40)",
01300688,TCC21/2EFBM,"TUBO DE A/C C/C DE 073.0 MM. LISO (2 1/2"") EDDYFLOW",
01300715,TSC1/2160GL,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 04.9 MM. GALV. LISO (1/2"" CED. 160)",
01300718,TSC1160GL,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 06.4 MM. GALV. LISO (1"" CED. 160)",
01300720,TSC11/2160GL,"TUBO DE ACERO AL CARBON SIN COSTURA 048.3 X 07.1 MM. GALV. LISO (1 1/2"" CED. 160)",
01300721,TSC2160GL,"TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 08.7 MM. GALV. LISO (2"" CED. 160)",
01300723,TSC3160GL,"TUBO DE ACERO AL CARBON SIN COSTURA 088.9 X 11.13 MM. GALV. LISO (3"" CED. 160)",
01300734,TSC440GL,"TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 06.0 MM. GALV. LISO (4"" CED. 40)",
01300744,TSC1/280GL,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 03.7 MM. GALV. LISO (1/2"" CED. 80)",
01300748,TSC3/480GL,"TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 03.9 MM. GALV. LISO (3/4"" CED. 80)",
01300749,TSC3/4160GL,"TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 05.6 MM. GALV. LISO (3/4"" CED.160)",
01300753,TSC180GL,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 04.6 MM. GALV. LISO (1"" CED. 80)",
01300757,TSC11/280GL,"TUBO DE ACERO AL CARBON SIN COSTURA 048.3 X 05.1 MM. GALV. LISO (1 1/2"" CED. 80)",
01300759,TSC280GL,"TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 05.5 MM. GALV. LISO (2"" CED. 80)",
01300761,TSC21/240GL,"TUBO DE ACERO AL CARBON SIN COSTURA 073.0 X 05.2 MM. GALV. LISO (2 1/2"" CED. 40)",
01300764,TSC380GL,"TUBO DE ACERO AL CARBON SIN COSTURA 088.9 X 07.6 MM. GALV. LISO (3"" CED. 80)",
01300772,TSC3/480GR,"TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 03.9 MM. GALV. ROSC. (3/4"" CED. 80)",
01300774,TSC180GR,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 04.6 MM. GALV. ROSC. (1"" CED. 80)",
01300776,TSC11/280GR,"TUBO DE ACERO AL CARBON SIN COSTURA 048.3 X 05.1 MM. GALV. ROSC. (1 1/2"" CED. 80)",
01300778,TSC280GR,"TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 05.5 MM. GALV. ROSC. (2"" CED. 80)",
01300785,TSC1/280R,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 03.7 MM. ROSC. (1/2"" CED. 80)",
01300786,TSC1/2160R,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 04.8 MM. ROSC. (1/2"" CED.160)",
01300789,TSC140R,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 03.4 MM. ROSC. (1"" CED. 40)",
01300790,TSC180R,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 04.6 MM. ROSC. (1"" CED. 80)",
01300792,TSC11/440R,"TUBO DE ACERO AL CARBON SIN COSTURA 042.2 X 03.6 MM. ROSC. (1 1/4"" CED. 40)",
01300794,TSC11/240R,"TUBO DE ACERO AL CARBON SIN COSTURA 048.3 X 03.7 MM. ROSC. (1 1/2"" CED. 40)",
01300795,TSC11/280R,"TUBO DE ACERO AL CARBON SIN COSTURA 048.3 X 05.1 MM. ROSC. (1 1/2"" CED. 80)",
01300796,TSC280R,"TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 05.5 MM. ROSC. (2"" CED. 80)",
01300797,TSC240R,"TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 03.9 MM. ROSC. (2"" CED. 40)",
01300798,TSC21/280R,"TUBO DE ACERO AL CARBON SIN COSTURA 073.0 X 07.0 MM. ROSC. (2 1/2"" CED. 80)",
01300799,TSC340R,"TUBO DE ACERO AL CARBON SIN COSTURA 088.9 X 05.5 MM. ROSC. (3"" CED. 40)",
01300800,TSC1/240R,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 02.8 MM. ROSC. (1/2"" CED. 40)",
01301932,TSC540TM,"COD. ART. R01310002 TUBO DE ACERO AL CARBON SIN COSTURA ASTM A53 GR.B DE 5"" CED. 40",
01300928,TSC5120TM,"COD. ART. R96010001 TUBO DE ACERO AL CARBON SIN COSTURA ASTM A-53 GR. B DE 5"" CED. 120.",
01300930,TSC2440TM,"COD. ART. R02240007 TUBO DE ACERO AL CARBON SIN COSTURA ASTM-A-106 GR B DE 24"" DE DIAMETRO",
01300932,TSC3/880TM,"COD. ART. R03030004 TUBO DE ACERO AL CARBON SIN COSTURA ASTM-A-106 GR. B DE 3/8"" DE DIAMETRO",
01300934,TSC2040TM,"COD. ART. R02230006 TUBO DE ACERO AL CARBON SIN COSTURA ASTM-A-106 GR. B DE 20"" DE DIAMETRO",
01300935,TSC4160TM,"COD. ART. R05180001 TUBO DE ACERO AL CARBON SIN COSTURA ASTM-A-106 GR. B DE 4"" DE DIAMETRO",
01300937,TSC21/280TM,"TUBO DE ACERO AL CARBON SIN COSTURA ASTM-A-106 GR.B DE 2 1/2"" DE DIAMETRO CED. 80",
01300938,TSC480,"TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 08.6 MM. (4"" CED. 80)",
01300944,TSC31/240,"TUBO DE ACERO AL CARBON SIN COSTURA 101.6 X 05.7 MM. (3 1/2"" CED. 40)",
01300947,TSC31/280,"TUBO DE ACERO AL CARBON SIN COSTURA 101.6 X 08.1 MM. (3 1/2"" CED. 80)",
01300948,TSC4120,"TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 11.1 MM. (4"" CED.120)",
01300949,TSC4160,"TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 13.5 MM. (4"" CED.160)",
01300958,TSC440,"TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 06.0 MM. (4"" CED. 40)",
01300964,TSC1/440,"TUBO DE ACERO AL CARBON SIN COSTURA 013.7 X 02.2 MM. (1/4"" CED. 40)",
01300965,TSC1/480,"TUBO DE ACERO AL CARBON SIN COSTURA 013.7 X 03.0 MM. (1/4"" CED. 80)",
01300966,TSC5120,"TUBO DE ACERO AL CARBON SIN COSTURA 141.3 X 12.7 MM. (5"" CED.120)",
01300967,TSC5160,"TUBO DE ACERO AL CARBON SIN COSTURA 141.3 X 15.9 MM. (5"" CED.160)",
01300972,TSC540,"TUBO DE ACERO AL CARBON SIN COSTURA 141.3 X 06.5 MM. (5"" CED. 40)",
01300976,TSC580,"TUBO DE ACERO AL CARBON SIN COSTURA 141.3 X 09.5 MM. (5"" CED. 80)",
01300977,TSC680,"TUBO DE ACERO AL CARBON SIN COSTURA 168.3 X 11.0 MM. (6"" CED. 80)",
01300979,TSC6120,"TUBO DE ACERO AL CARBON SIN COSTURA 168.3 X 14.3 MM. (6"" CED.120)",
01300981,TSC6160,"TUBO DE ACERO AL CARBON SIN COSTURA 168.3 X 18.3 MM. (6"" CED.160)",
01300990,TSC6X6.3,"TUBO DE ACERO AL CARBON SIN COSTURA 168.3 X 06.3 MM. (6"" X 6.3 MM.)",
01300991,TSC640,"TUBO DE ACERO AL CARBON SIN COSTURA 168.3 X 07.1 MM. (6"" CED. 40)",
01300995,TSC3/840,"TUBO DE ACERO AL CARBON SIN COSTURA 017.1 X 02.3 MM. (3/8"" CED. 40)",
01300996,TSC3/880,"TUBO DE ACERO AL CARBON SIN COSTURA 017.1 X 03.2 MM. (3/8"" CED. 80)",
01300997,TSC1/240,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 02.8 MM. (1/2"" CED. 40)",
01300998,TSC1/280,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 03.7 MM. (1/2"" CED. 80)",
01300999,TSC1/2160,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 04.9 MM. (1/2"" CED.160)",
01301000,TSC1/2XXS,"TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 07.5 MM. (1/2"" CED. XXS)",
01301004,TSC880,"TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 12.7 MM. (8"" CED. 80)",
01301008,TSC8120,"TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 18.3 MM. (8"" CED.120)",
01301014,TSC820,"TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 06.3 MM. (8"" CED. 20)",
01301015,TSC830,"TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 07.0 MM. (8"" CED. 30)",
01301017,TSC840,"TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 08.2 MM. (8"" CED. 40)",
01301020,TSC3/440,"TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 02.9 MM. (3/4"" CED. 40)",
01301022,TSC3/480,"TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 03.9 MM. (3/4"" CED. 80)",
01301024,TSC3/4160,"TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 05.6 MM. (3/4"" CED.160)",
01301025,TSC3/4XXS,"TUBO DE ACERO AL CARBON SIN COSTURA 026.7 X 07.8 MM. (3/4"" CED. XXS)",
01301027,TSC1060,"TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 12.7 MM. (10"" CED. 60)",
01301029,TSC1080,"TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 15.1 MM. (10"" CED. 80)",
01301038,TSC1020,"TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 06.4 MM. (10"" CED. 20)",
01301042,TSC1040,"TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 09.3 MM. (10"" CED. 40)",
01301043,TSC1240,"TUBO DE ACERO AL CARBON SIN COSTURA 323.8 X 10.3 MM. (12"" CED. 40)",
01301045,TSC12X12.7,"TUBO DE ACERO AL CARBON SIN COSTURA 323.8 X 12.7 MM. (12"" X 1/2"")",
01301048,TSC1280,"TUBO DE ACERO AL CARBON SIN COSTURA 323.8 X 17.5 MM. (12"" CED. 80)",
01301056,TSC1220,"TUBO DE ACERO AL CARBON SIN COSTURA 323.8 X 06.3 MM. (12"" CED. 20)",
01301059,TSC1230,"TUBO DE ACERO AL CARBON SIN COSTURA 323.8 X 08.4 MM. (12"" CED. 30)",
01301061,TSC12X9.5,"TUBO DE ACERO AL CARBON SIN COSTURA 323.8 X 09.5 MM. (12"" X 3/8"")",
01301063,TSC140,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 03.4 MM. (1"" CED. 40)",
01301065,TSC180,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 04.6 MM. (1"" CED. 80)",
01301067,TSC1160,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 06.4 MM. (1"" CED.160)",
01301068,TSC1XXS,"TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 09.1 MM. (1"" CED. XXS)",
01301070,TSC1440,"TUBO DE ACERO AL CARBON SIN COSTURA 355.6 X 11.1 MM. (14"" CED. 40)",
01301084,TSC1420,"TUBO DE ACERO AL CARBON SIN COSTURA 355.6 X 07.9 MM. (14"" CED. 20)",
01301086,TSC1430,"TUBO DE ACERO AL CARBON SIN COSTURA 355.6 X 09.6 MM. (14"" CED. 30)",
01301091,TSC1640,"TUBO DE ACERO AL CARBON SIN COSTURA 406.4 X 12.7 MM. (16"" CED. 40)",
01301096,TSC1680,"TUBO DE ACERO AL CARBON SIN COSTURA 406.4 X 21.4 MM. (16"" CED. 80)",
01301107,TSC1630,"TUBO DE ACERO AL CARBON SIN COSTURA 406.4 X 09.6 MM. (16"" CED. 30)",
01301108,TSC11/440,"TUBO DE ACERO AL CARBON SIN COSTURA 042.2 X 03.6 MM. (1 1/4"" CED. 40)",
01301110,TSC11/480,"TUBO DE ACERO AL CARBON SIN COSTURA 042.2 X 04.9 MM. (1 1/4"" CED. 80)",
01301111,TSC11/4160,"TUBO DE ACERO AL CARBON SIN COSTURA 042.2 X 06.4 MM. (1 1/4"" CED.160)",
01301115,TSC18X12.7,"TUBO DE ACERO AL CARBON SIN COSTURA 457 X 12.7 MM. (18"" X 1/2"")",
